 "pm20" , "pm20Label" , "life" , "nationality" , "activities" , "locations" , "count" ,
 "http://purl.org/pressemappe20/folder/pe/011570" , "Lloyd George, David" , "1863-1945" , "United Kingdom" , "Politik; Politics" , "Großbritannien; United Kingdom" , "364" ,
 "http://purl.org/pressemappe20/folder/pe/001446" , "Benes, Edvard" , "1884-1948" , "Czechoslovakia" , "Staatsoberhaupt; Head of state; Politik; Politics" , "Tschechoslowakei; Czechoslovakia" , "363" ,
 "http://purl.org/pressemappe20/folder/pe/001446" , "Benes, Edvard" , "1884-1948" , "Tschechoslowakei" , "Staatsoberhaupt; Head of state; Politik; Politics" , "Tschechoslowakei; Czechoslovakia" , "363" ,
 "http://purl.org/pressemappe20/folder/pe/003547" , "Cripps, Richard Stafford" , "1889-1952" , "Großbritannien" , "Politik; Politics" , "Großbritannien; United Kingdom" , "326" ,
 "http://purl.org/pressemappe20/folder/pe/003547" , "Cripps, Richard Stafford" , "1889-1952" , "United Kingdom" , "Politik; Politics" , "Großbritannien; United Kingdom" , "326" ,
 "http://purl.org/pressemappe20/folder/pe/018680" , "Eduard <Großbritannien, König, VIII.>" , "1894-1972" , "Großbritannien" , "Gesellschaft; Society; Staatsoberhaupt; Head of state" , "Großbritannien; United Kingdom" , "324" ,
 "http://purl.org/pressemappe20/folder/pe/018680" , "Eduard <Großbritannien, König, VIII.>" , "1894-1972" , "United Kingdom" , "Gesellschaft; Society; Staatsoberhaupt; Head of state" , "Großbritannien; United Kingdom" , "324" ,
 "http://purl.org/pressemappe20/folder/pe/013635" , "Pilsudski, Józef" , "1867-1935" , "Poland" , "Politik; Politics" , "Polen; Poland" , "320" ,
 "http://purl.org/pressemappe20/folder/pe/013635" , "Pilsudski, Józef" , "1867-1935" , "Polen" , "Politik; Politics" , "Polen; Poland" , "320" ,
 "http://purl.org/pressemappe20/folder/pe/004820" , "Erzberger, Matthias" , "1875-1921" , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "288" ,
 "http://purl.org/pressemappe20/folder/pe/004820" , "Erzberger, Matthias" , "1875-1921" , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "288" ,
 "http://purl.org/pressemappe20/folder/pe/011695" , "Ludendorff, Erich" , "1865-1937" , "Deutschland" , "Politik; Politics; Militär; Military" , "Deutschland; Germany" , "281" ,
 "http://purl.org/pressemappe20/folder/pe/011695" , "Ludendorff, Erich" , "1865-1937" , "Germany" , "Politik; Politics; Militär; Military" , "Deutschland; Germany" , "281" ,
 "http://purl.org/pressemappe20/folder/pe/014971" , "Rosenberg, Alfred" , "1893-1946" , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "265" ,
 "http://purl.org/pressemappe20/folder/pe/014971" , "Rosenberg, Alfred" , "1893-1946" , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "265" ,
 "http://purl.org/pressemappe20/folder/pe/011463" , "Lindbergh, Charles A." , "1902-1974" , "USA" , "Expedition; Exploration; Technik; Technique" , "Welt; World; USA; United States" , "261" ,
 "http://purl.org/pressemappe20/folder/pe/011463" , "Lindbergh, Charles A." , "1902-1974" , "United States" , "Expedition; Exploration; Technik; Technique" , "Welt; World; USA; United States" , "261" ,
 "http://purl.org/pressemappe20/folder/pe/029659" , "Smuts, Jan Christiaan" , "1870-1950" , "Großbritannien" , "Politik; Politics; Militär; Military" , "Südafrika; South Africa" , "258" ,
 "http://purl.org/pressemappe20/folder/pe/029659" , "Smuts, Jan Christiaan" , "1870-1950" , "United Kingdom" , "Politik; Politics; Militär; Military" , "Südafrika; South Africa" , "258" ,
 "http://purl.org/pressemappe20/folder/pe/017263" , "Stresemann, Gustav" , "1878-1929" , "Deutschland" , "Außenpolitik; Foreign policy" , "Deutschland; Germany" , "254" ,
